"Time","Population","Curve_ID"
31,217.494953744638,55
32,239.231170127381,55
33,260.904544337604,55
34,282.110854844601,55
35,302.46930885755,55
36,321.650080352816,55
37,339.395310893061,55
38,355.530786001901,55
39,369.967551280494,55
40,382.694729356447,55
41,393.766164913121,55
42,403.284006656836,55
43,411.38202894355,55
44,418.210715035638,55
45,423.925215808353,55
46,428.676514717317,55
47,432.605589206426,55
48,435.840067411592,55
49,438.492783183064,55
50,440.661661198947,55
51,442.43045527178,55
52,443.869973453888,55
53,445.039528058292,55
54,445.988435744396,55
55,446.757459457017,55
56,447.380131845758,55
57,447.883932247645,55
58,448.291310116527,55
59,448.620560241977,55
60,448.88656186896,55
61,449.101396888183,55
62,449.274863024223,55
63,449.414897365248,55
64,449.527924286718,55
65,449.619140221573,55
66,449.692746063016,55
67,449.752136390368,55
68,449.800053254194,55
69,449.838710973058,55
70,449.869897285703,55
71,449.895055260137,55
72,449.915349569475,55
73,449.93172008522,55
74,449.944925193384,55
75,449.955576790205,55
76,449.964168546597,55
77,449.971098730135,55
78,449.976688628686,55
79,449.981197420865,55
80,449.984834176938,55
81,449.987767542861,55
82,449.990133554035,55
83,449.992041939561,55
84,449.993581208292,55
85,449.994822751912,55
86,449.99582415488,55
87,449.996631864483,55
88,449.997283344653,55
89,449.997808813311,55
90,449.998232643766,55
91,449.998574495104,55
92,449.998850223969,55
93,449.999072620001,55
94,449.999251999053,55
95,449.999396681658,55
96,449.999513378967,55
97,449.999607504035,55
98,449.999683422901,55
99,449.999744657106,55
100,449.999794047037,55
0,0.5,56
1,0.5,56
2,0.5,56
3,0.5,56
4,0.5,56
5,0.5,56
6,0.5,56
7,0.5,56
8,0.957160905810772,56
9,1.82423145819654,56
10,3.44754523183151,56
11,6.41201100799492,56
12,11.5744504843584,56
13,19.7895787686232,56
14,30.8325823291243,56
15,41.7486793665462,56
16,48.1116524596535,56
17,49.7897843159992,56
18,49.9831143117768,56
19,49.9987039472311,56
20,49.9999008953108,56
21,49.999992423997,56
22,49.9999994208695,56
23,49.9999999557297,56
24,49.9999999966159,56
25,49.9999999997413,56
26,49.9999999999802,56
27,49.9999999999985,56
28,49.9999999999999,56
29,50,56
30,50,56
31,50,56
32,50,56
33,50,56
34,50,56
35,50,56
36,50,56
37,50,56
38,50,56
39,50,56
40,50,56
41,50,56
42,50,56
43,50,56
44,50,56
45,50,56
46,50,56
47,50,56
48,50,56
49,50,56
50,50,56
51,50,56
52,50,56
53,50,56
54,50,56
55,50,56
56,50,56
57,50,56
58,50,56
59,50,56
60,50,56
61,50,56
62,50,56
63,50,56
64,50,56
65,50,56
66,50,56
67,50,56
68,50,56
69,50,56
70,50,56
71,50,56
72,50,56
73,50,56
74,50,56
75,50,56
76,50,56
77,50,56
78,50,56
79,50,56
80,50,56
81,50,56
82,50,56
83,50,56
84,50,56
85,50,56
86,50,56
87,50,56
88,50,56
89,50,56
90,50,56
91,50,56
92,50,56
93,50,56
94,50,56
95,50,56
96,50,56
97,50,56
98,50,56
99,50,56
100,50,56
0,0.5,57
1,0.5,57
2,0.5,57
3,0.5,57
4,0.5,57
5,0.5,57
6,0.5,57
7,0.5,57
8,0.5,57
9,0.921071194738033,57
10,1.69014603705529,57
11,3.07926770428797,57
12,5.53732814784904,57
13,9.72599815593606,57
14,16.3900642817329,57
15,25.7619863379363,57
16,36.3852191870479,57
17,44.8130533006172,57
18,48.7675994651637,57
19,49.7901000988873,57
20,49.967901657086,57
21,49.9951885479474,57
22,49.9992810103871,57
23,49.9998926093,57
24,49.9999839608823,57
25,49.9999976045354,57
26,49.9999996422346,57
27,49.9999999465673,57
28,49.9999999920198,57
29,49.9999999988081,57
30,49.999999999822,57
31,49.9999999999734,57
32,49.999999999996,57
33,49.9999999999994,57
34,49.9999999999999,57
35,50,57
36,50,57
37,50,57
38,50,57
39,50,57
40,50,57
41,50,57
42,50,57
43,50,57
44,50,57
45,50,57
46,50,57
47,50,57
48,50,57
49,50,57
50,50,57
51,50,57
52,50,57
53,50,57
54,50,57
55,50,57
56,50,57
57,50,57
58,50,57
59,50,57
60,50,57
61,50,57
62,50,57
63,50,57
64,50,57
65,50,57
66,50,57
67,50,57
68,50,57
69,50,57
70,50,57
71,50,57
72,50,57
73,50,57
74,50,57
75,50,57
76,50,57
77,50,57
78,50,57
79,50,57
80,50,57
81,50,57
82,50,57
83,50,57
84,50,57
85,50,57
86,50,57
87,50,57
88,50,57
89,50,57
90,50,57
91,50,57
92,50,57
93,50,57
94,50,57
95,50,57
96,50,57
97,50,57
98,50,57
99,50,57
100,50,57
0,3.5,58
1,3.5,58
2,3.5,58
3,3.5,58
4,3.5,58
5,3.5,58
6,3.5,58
7,3.5,58
8,3.5,58
9,5.85457361037668,58
10,9.76638819892295,58
11,16.2177617183145,58
12,26.7275780581084,58
13,43.5028377653217,58
14,69.3900351094393,58
15,107.194333776217,58
16,157.726932806609,58
17,216.606593860019,58
18,272.704548152003,58
19,313.629418324059,58
20,335.776067613943,58
21,345.04885723568,58
22,348.36571640023,58
23,349.4710765917,58
24,349.829953086638,58
25,349.94544903091,58
26,349.982512307368,58
27,349.994395136292,58
28,349.99820375183,58
29,349.999424351205,58
30,349.999815521546,58
31,349.999940880239,58
32,349.99998105392,58
33,349.999993928361,58
34,349.999998054226,58
35,349.999999376439,58
36,349.999999800168,58
37,349.99999993596,58
38,349.999999979477,58
39,349.999999993423,58
40,349.999999997892,58
41,349.999999999325,58
42,349.999999999784,58
43,349.999999999931,58
44,349.999999999978,58
45,349.999999999993,58
46,349.999999999998,58
47,349.999999999999,58
48,350,58
49,350,58
50,350,58
51,350,58
52,350,58
53,350,58
54,350,58
55,350,58
56,350,58
57,350,58
58,350,58
59,350,58
60,350,58
61,350,58
62,350,58
63,350,58
64,350,58
65,350,58
66,350,58
67,350,58
68,350,58
69,350,58
70,350,58
71,350,58
72,350,58
73,350,58
74,350,58
75,350,58
76,350,58
77,350,58
78,350,58
79,350,58
80,350,58
81,350,58
82,350,58
83,350,58
84,350,58
85,350,58
86,350,58
87,350,58
88,350,58
89,350,58
90,350,58
91,350,58
92,350,58
93,350,58
94,350,58
95,350,58
96,350,58
97,350,58
